mac,device_type,manufacturer,ssid,rssi,channel,confidence,detection_method,first_seen_local,last_seen_local,seen_count,latitude,longitude,details
18:B4:30:93:F7:20,camera,Nest,"",-78,0,0.7,oui+behavior,"2026-04-21 02:53:12","2026-04-21 07:37:25",340,0.0,0.0,"{""oui_match"": ""Nest"", ""behavior"": {""is_static"": false, ""is_24ghz_only"": false, ""is_non_randomized"": true, ""is_always_on"": false, ""behavior_score"": 0.1}}"
50:C7:BF:F0:01:3E,camera,TP-Link,"",0,6,0.7,oui+behavior,"2026-04-05 02:07:59","2026-04-05 03:56:53",14,0.0,0.0,"{""oui_match"": ""TP-Link"", ""behavior"": {""is_static"": false, ""is_24ghz_only"": false, ""is_non_randomized"": true, ""is_always_on"": false, ""behavior_score"": 0.1}}"
64:16:66:3E:B8:6C,camera,Nest,"",0,0,0.7,oui+behavior,"2026-04-05 03:55:31","2026-04-21 04:48:46",10,0.0,0.0,"{""oui_match"": ""Nest"", ""behavior"": {""is_static"": false, ""is_24ghz_only"": false, ""is_non_randomized"": true, ""is_always_on"": false, ""behavior_score"": 0.1}}"
24:5A:4C:A7:6F:C9,camera,Ubiquiti,"",0,1,0.7,oui+behavior,"2026-04-21 02:46:13","2026-04-21 02:59:23",9,0.0,0.0,"{""oui_match"": ""Ubiquiti"", ""behavior"": {""is_static"": false, ""is_24ghz_only"": false, ""is_non_randomized"": true, ""is_always_on"": false, ""behavior_score"": 0.1}}"
EC:71:DB:67:AC:ED,camera,Reolink,"",0,36,0.7,oui+behavior,"2026-04-05 03:00:49","2026-04-21 09:05:32",7,0.0,0.0,"{""oui_match"": ""Reolink"", ""behavior"": {""is_static"": false, ""is_24ghz_only"": false, ""is_non_randomized"": true, ""is_always_on"": false, ""behavior_score"": 0.1}}"
18:B4:30:F9:68:1E,camera,Nest,"",0,0,0.7,oui+behavior,"2026-04-21 02:56:38","2026-04-21 04:31:18",7,0.0,0.0,"{""oui_match"": ""Nest"", ""behavior"": {""is_static"": false, ""is_24ghz_only"": false, ""is_non_randomized"": true, ""is_always_on"": false, ""behavior_score"": 0.1}}"
64:16:66:8E:92:85,camera,Nest,"",0,6,0.7,oui+behavior,"2026-04-21 03:04:16","2026-04-21 04:31:42",6,0.0,0.0,"{""oui_match"": ""Nest"", ""behavior"": {""is_static"": false, ""is_24ghz_only"": false, ""is_non_randomized"": true, ""is_always_on"": false, ""behavior_score"": 0.1}}"
50:C7:BF:CE:E4:07,camera,TP-Link,"",0,0,0.7,oui+behavior,"2026-04-21 03:07:48","2026-04-21 03:56:08",6,0.0,0.0,"{""oui_match"": ""TP-Link"", ""behavior"": {""is_static"": false, ""is_24ghz_only"": false, ""is_non_randomized"": true, ""is_always_on"": false, ""behavior_score"": 0.1}}"
64:16:66:95:A7:BC,camera,Nest,"",0,0,0.7,oui+behavior,"2026-04-05 01:44:22","2026-04-05 01:44:43",3,0.0,0.0,"{""oui_match"": ""Nest"", ""behavior"": {""is_static"": false, ""is_24ghz_only"": false, ""is_non_randomized"": true, ""is_always_on"": false, ""behavior_score"": 0.1}}"
B0:4E:26:16:C9:BB,camera,TP-Link,"",0,7,0.7,oui+behavior,"2026-04-21 03:00:27","2026-04-21 03:00:38",2,0.0,0.0,"{""oui_match"": ""TP-Link"", ""behavior"": {""is_static"": false, ""is_24ghz_only"": false, ""is_non_randomized"": true, ""is_always_on"": false, ""behavior_score"": 0.1}}"
18:B4:30:5B:65:F1,camera,Nest,"",-73,36,0.7,oui+behavior,"2026-04-21 09:08:00","2026-04-21 09:08:14",2,0.0,0.0,"{""oui_match"": ""Nest"", ""behavior"": {""is_static"": false, ""is_24ghz_only"": false, ""is_non_randomized"": true, ""is_always_on"": false, ""behavior_score"": 0.1}}"
F0:9F:C2:3E:2E:77,camera,Ubiquiti,"",0,48,0.7,oui+behavior,"2026-04-21 09:10:32","2026-04-21 09:10:46",2,0.0,0.0,"{""oui_match"": ""Ubiquiti"", ""behavior"": {""is_static"": false, ""is_24ghz_only"": false, ""is_non_randomized"": true, ""is_always_on"": false, ""behavior_score"": 0.1}}"
BBEB9637-D5D4-1BCF-8327-6CBBD1713360,tracker,"Apple Find My (AirTag/AirPods/FindMy accessory)",apple_findmy,-56,BLE,0.5,ble_signature,"2026-04-21 02:45:41","2026-04-21 09:44:48",1958,0.0,0.0,"{""tracker_type"": ""apple_findmy"", ""seen_count"": 11, ""is_following"": false, ""first_seen"": 1776757533.929729, ""unique_locations"": 0}"
80505B73-6FC1-963F-2CEA-F15DDA9BF106,tracker,"Apple Find My (AirTag/AirPods/FindMy accessory)",apple_findmy,-54,BLE,0.5,ble_signature,"2026-04-21 02:45:41","2026-04-21 09:44:46",1946,0.0,0.0,"{""tracker_type"": ""apple_findmy"", ""seen_count"": 12, ""is_following"": false, ""first_seen"": 1776757534.220284, ""unique_locations"": 0}"
B5D4EFB4-4624-14B7-812D-B7B0B4D0C9EA,tracker,"Samsung Galaxy SmartTag",samsung_smarttag,-79,BLE,0.5,ble_signature,"2026-04-21 02:45:42","2026-04-21 09:05:15",1760,0.0,0.0,"{""tracker_type"": ""samsung_smarttag"", ""seen_count"": 8, ""is_following"": false, ""first_seen"": 1776757533.6207318, ""unique_locations"": 0}"
9347CBF3-323F-8724-1499-B1C6E781B541,tracker,"Samsung Galaxy SmartTag",samsung_smarttag,-89,BLE,0.5,ble_signature,"2026-04-21 03:01:22","2026-04-21 09:05:33",1503,0.0,0.0,"{""tracker_type"": ""samsung_smarttag"", ""seen_count"": 3, ""is_following"": false, ""first_seen"": 1776758479.703462, ""unique_locations"": 0}"
CBC0D55B-41A7-31F9-AACA-0158FB7461A3,tracker,"Apple Find My (AirTag/AirPods/FindMy accessory)",apple_findmy,-96,BLE,0.5,ble_signature,"2026-04-21 04:26:21","2026-04-21 04:58:46",164,0.0,0.0,"{""tracker_type"": ""apple_findmy"", ""seen_count"": 1, ""is_following"": false, ""first_seen"": 1776763581.700495, ""unique_locations"": 0}"
CB9D0D98-9D40-BD8D-4920-7ABC4DBD6FCF,tracker,"Apple Find My (AirTag/AirPods/FindMy accessory)",apple_findmy,-98,BLE,0.5,ble_signature,"2026-04-21 07:27:59","2026-04-21 08:00:36",164,0.0,0.0,"{""tracker_type"": ""apple_findmy"", ""seen_count"": 3, ""is_following"": false, ""first_seen"": 1776774478.9659579, ""unique_locations"": 0}"
35003394-50F2-66D1-6219-EEDE0DD466B9,tracker,"Apple Find My (AirTag/AirPods/FindMy accessory)",apple_findmy,-96,BLE,0.5,ble_signature,"2026-04-21 02:46:23","2026-04-21 03:13:08",146,0.0,0.0,"{""tracker_type"": ""apple_findmy"", ""seen_count"": 4, ""is_following"": false, ""first_seen"": 1776757580.249165, ""unique_locations"": 0}"
8CB21567-B8CD-12CA-D08D-C886F08A9E7D,tracker,"Apple Find My (AirTag/AirPods/FindMy accessory)",apple_findmy,-95,BLE,0.5,ble_signature,"2026-04-21 06:30:31","2026-04-21 07:00:41",141,0.0,0.0,"{""tracker_type"": ""apple_findmy"", ""seen_count"": 4, ""is_following"": false, ""first_seen"": 1776771026.998126, ""unique_locations"": 0}"
45A5AC72-8A3D-2058-2BA7-437542F42DA3,tracker,"Apple Find My (AirTag/AirPods/FindMy accessory)",apple_findmy,-96,BLE,0.5,ble_signature,"2026-04-21 07:00:53","2026-04-21 07:27:15",137,0.0,0.0,"{""tracker_type"": ""apple_findmy"", ""seen_count"": 2, ""is_following"": false, ""first_seen"": 1776772853.977608, ""unique_locations"": 0}"
ED5A5D07-1489-3BA1-E22C-4691B7B1B4E1,tracker,"Apple Find My (AirTag/AirPods/FindMy accessory)",apple_findmy,-92,BLE,0.5,ble_signature,"2026-04-21 06:03:26","2026-04-21 06:27:54",135,0.0,0.0,"{""tracker_type"": ""apple_findmy"", ""seen_count"": 3, ""is_following"": false, ""first_seen"": 1776769403.833963, ""unique_locations"": 0}"
D276F3C5-2E92-1ED1-D0D6-2536647C264B,tracker,"Apple Find My (AirTag/AirPods/FindMy accessory)",apple_findmy,-95,BLE,0.5,ble_signature,"2026-04-21 07:50:06","2026-04-21 08:15:57",134,0.0,0.0,"{""tracker_type"": ""apple_findmy"", ""seen_count"": 1, ""is_following"": false, ""first_seen"": 1776775806.682284, ""unique_locations"": 0}"
464B8EB3-410B-4FD3-B7CA-34C0BA79C6E2,tracker,"Apple Find My (AirTag/AirPods/FindMy accessory)",apple_findmy,-76,BLE,0.5,ble_signature,"2026-04-21 03:15:01","2026-04-21 03:40:35",131,0.0,0.0,"{""tracker_type"": ""apple_findmy"", ""seen_count"": 1, ""is_following"": false, ""first_seen"": 1776759301.956529, ""unique_locations"": 0}"
